Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-01-22-024-XXIV-NRSITZ-00012	ParlaMint-AT_2009-01-22-024-XXIV-NRSITZ-00012_d7e498	Sitting Number 12, Legislative period XXIV, Thursday, 22. January 2009	2009-01-22	Lower house	Legislative period XXIV	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-01-22-024-XXIV-NRSITZ-00012	ParlaMint-AT_2009-01-22-024-XXIV-NRSITZ-00012_d7e529	Sitting Number 12, Legislative period XXIV, Thursday, 22. January 2009	2009-01-22	Lower house	Legislative period XXIV	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-01-22-024-XXIV-NRSITZ-00012	ParlaMint-AT_2009-01-22-024-XXIV-NRSITZ-00012_d7e913	Sitting Number 12, Legislative period XXIV, Thursday, 22. January 2009	2009-01-22	Lower house	Legislative period XXIV	-	-	Sitting 12	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
