Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-09-01-024-XXIV-NRSITZ-00034	ParlaMint-AT_2009-09-01-024-XXIV-NRSITZ-00034_d7e444	Sitting Number 34, Legislative period XXIV, Tuesday, 1. September 2009	2009-09-01	Lower house	Legislative period XXIV	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-09-01-024-XXIV-NRSITZ-00034	ParlaMint-AT_2009-09-01-024-XXIV-NRSITZ-00034_d7e478	Sitting Number 34, Legislative period XXIV, Tuesday, 1. September 2009	2009-09-01	Lower house	Legislative period XXIV	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-09-01-024-XXIV-NRSITZ-00034	ParlaMint-AT_2009-09-01-024-XXIV-NRSITZ-00034_d7e692	Sitting Number 34, Legislative period XXIV, Tuesday, 1. September 2009	2009-09-01	Lower house	Legislative period XXIV	-	-	Sitting 34	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
