Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-09-18-024-XXIV-NRSITZ-00036	ParlaMint-AT_2009-09-18-024-XXIV-NRSITZ-00036_d7e346	Sitting Number 36, Legislative period XXIV, Friday, 18. September 2009	2009-09-18	Lower house	Legislative period XXIV	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-09-18-024-XXIV-NRSITZ-00036	ParlaMint-AT_2009-09-18-024-XXIV-NRSITZ-00036_d7e377	Sitting Number 36, Legislative period XXIV, Friday, 18. September 2009	2009-09-18	Lower house	Legislative period XXIV	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-09-18-024-XXIV-NRSITZ-00036	ParlaMint-AT_2009-09-18-024-XXIV-NRSITZ-00036_d7e573	Sitting Number 36, Legislative period XXIV, Friday, 18. September 2009	2009-09-18	Lower house	Legislative period XXIV	-	-	Sitting 36	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
