Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-06-17-024-XXIV-NRSITZ-00028	ParlaMint-AT_2009-06-17-024-XXIV-NRSITZ-00028_d7e425	Sitting Number 28, Legislative period XXIV, Wednesday, 17. June 2009	2009-06-17	Lower house	Legislative period XXIV	-	-	Sitting 28	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-06-17-024-XXIV-NRSITZ-00028	ParlaMint-AT_2009-06-17-024-XXIV-NRSITZ-00028_d7e456	Sitting Number 28, Legislative period XXIV, Wednesday, 17. June 2009	2009-06-17	Lower house	Legislative period XXIV	-	-	Sitting 28	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
ParlaMint-AT-en_2009-06-17-024-XXIV-NRSITZ-00028	ParlaMint-AT_2009-06-17-024-XXIV-NRSITZ-00028_d7e800	Sitting Number 28, Legislative period XXIV, Wednesday, 17. June 2009	2009-06-17	Lower house	Legislative period XXIV	-	-	Sitting 28	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_02834	Graf, Martin	M	1960	
