Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-11-19-024-XXIV-NRSITZ-00047	ParlaMint-AT_2009-11-19-024-XXIV-NRSITZ-00047_d7e389	Sitting Number 47, Legislative period XXIV, Thursday, 19. November 2009	2009-11-19	Lower house	Legislative period XXIV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-11-19-024-XXIV-NRSITZ-00047	ParlaMint-AT_2009-11-19-024-XXIV-NRSITZ-00047_d7e420	Sitting Number 47, Legislative period XXIV, Thursday, 19. November 2009	2009-11-19	Lower house	Legislative period XXIV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-11-19-024-XXIV-NRSITZ-00047	ParlaMint-AT_2009-11-19-024-XXIV-NRSITZ-00047_d7e810	Sitting Number 47, Legislative period XXIV, Thursday, 19. November 2009	2009-11-19	Lower house	Legislative period XXIV	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
