Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-05-19-024-XXIV-NRSITZ-00022	ParlaMint-AT_2009-05-19-024-XXIV-NRSITZ-00022_d7e467	Sitting Number 22, Legislative period XXIV, Tuesday, 19. May 2009	2009-05-19	Lower house	Legislative period XXIV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-05-19-024-XXIV-NRSITZ-00022	ParlaMint-AT_2009-05-19-024-XXIV-NRSITZ-00022_d7e498	Sitting Number 22, Legislative period XXIV, Tuesday, 19. May 2009	2009-05-19	Lower house	Legislative period XXIV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-05-19-024-XXIV-NRSITZ-00022	ParlaMint-AT_2009-05-19-024-XXIV-NRSITZ-00022_d7e675	Sitting Number 22, Legislative period XXIV, Tuesday, 19. May 2009	2009-05-19	Lower house	Legislative period XXIV	-	-	Sitting 22	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
