Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-12-11-024-XXIV-NRSITZ-00052	ParlaMint-AT_2009-12-11-024-XXIV-NRSITZ-00052_d7e613	Sitting Number 52, Legislative period XXIV, Friday, 11. December 2009	2009-12-11	Lower house	Legislative period XXIV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-12-11-024-XXIV-NRSITZ-00052	ParlaMint-AT_2009-12-11-024-XXIV-NRSITZ-00052_d7e644	Sitting Number 52, Legislative period XXIV, Friday, 11. December 2009	2009-12-11	Lower house	Legislative period XXIV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-12-11-024-XXIV-NRSITZ-00052	ParlaMint-AT_2009-12-11-024-XXIV-NRSITZ-00052_d7e864	Sitting Number 52, Legislative period XXIV, Friday, 11. December 2009	2009-12-11	Lower house	Legislative period XXIV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-12-11-024-XXIV-NRSITZ-00052	ParlaMint-AT_2009-12-11-024-XXIV-NRSITZ-00052_d7e899	Sitting Number 52, Legislative period XXIV, Friday, 11. December 2009	2009-12-11	Lower house	Legislative period XXIV	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
