Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-07-08-024-XXIV-NRSITZ-00030	ParlaMint-AT_2009-07-08-024-XXIV-NRSITZ-00030_d7e486	Sitting Number 30, Legislative period XXIV, Wednesday, 8. July 2009	2009-07-08	Lower house	Legislative period XXIV	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-07-08-024-XXIV-NRSITZ-00030	ParlaMint-AT_2009-07-08-024-XXIV-NRSITZ-00030_d7e517	Sitting Number 30, Legislative period XXIV, Wednesday, 8. July 2009	2009-07-08	Lower house	Legislative period XXIV	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
ParlaMint-AT-en_2009-07-08-024-XXIV-NRSITZ-00030	ParlaMint-AT_2009-07-08-024-XXIV-NRSITZ-00030_d7e719	Sitting Number 30, Legislative period XXIV, Wednesday, 8. July 2009	2009-07-08	Lower house	Legislative period XXIV	-	-	Sitting 30	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_03604	Neugebauer, Fritz	M	1944	
