Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00025	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00025_d7e333	Sitting Number 25, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 25	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00025	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00025_d7e364	Sitting Number 25, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 25	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-05-29-024-XXIV-NRSITZ-00025	ParlaMint-AT_2009-05-29-024-XXIV-NRSITZ-00025_d7e425	Sitting Number 25, Legislative period XXIV, Friday, 29. May 2009	2009-05-29	Lower house	Legislative period XXIV	-	-	Sitting 25	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
