Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2009-09-24-024-XXIV-NRSITZ-00038	ParlaMint-AT_2009-09-24-024-XXIV-NRSITZ-00038_d7e370	Sitting Number 38, Legislative period XXIV, Thursday, 24. September 2009	2009-09-24	Lower house	Legislative period XXIV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-09-24-024-XXIV-NRSITZ-00038	ParlaMint-AT_2009-09-24-024-XXIV-NRSITZ-00038_d7e401	Sitting Number 38, Legislative period XXIV, Thursday, 24. September 2009	2009-09-24	Lower house	Legislative period XXIV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2009-09-24-024-XXIV-NRSITZ-00038	ParlaMint-AT_2009-09-24-024-XXIV-NRSITZ-00038_d7e773	Sitting Number 38, Legislative period XXIV, Thursday, 24. September 2009	2009-09-24	Lower house	Legislative period XXIV	-	-	Sitting 38	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Coalition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
