Session,Date,Left,Centre,Right
ParlaMint-BE-en_2014-06-19-54-plenair-ip001x-meta.tsv,2014-06-19,3,0,9
ParlaMint-BE-en_2014-06-30-54-plenair-ip002x-meta.tsv,2014-06-30,6,0,8
ParlaMint-BE-en_2014-07-17-54-commissie-ic001x-meta.tsv,2014-07-17,5,0,7
ParlaMint-BE-en_2014-07-17-54-plenair-ip003x-meta.tsv,2014-07-17,0,0,1
ParlaMint-BE-en_2014-07-18-54-commissie-ic002x-meta.tsv,2014-07-18,5,0,4
ParlaMint-BE-en_2014-07-30-54-plenair-ip004x-meta.tsv,2014-07-30,0,0,1
ParlaMint-BE-en_2014-09-24-54-commissie-ic008x-meta.tsv,2014-09-24,4,0,6
ParlaMint-BE-en_2014-09-26-54-plenair-ip005x-meta.tsv,2014-09-26,8,0,13
ParlaMint-BE-en_2014-10-07-54-plenair-ip006x-meta.tsv,2014-10-07,2,0,1
ParlaMint-BE-en_2014-10-14-54-plenair-ip007x-meta.tsv,2014-10-14,5,0,6
ParlaMint-BE-en_2014-10-15-54-plenair-ip008x-meta.tsv,2014-10-15,11,0,15
ParlaMint-BE-en_2014-10-15-54-plenair-ip009x-meta.tsv,2014-10-15,15,0,20
ParlaMint-BE-en_2014-10-15-54-plenair-ip010x-meta.tsv,2014-10-15,29,0,23
ParlaMint-BE-en_2014-10-16-54-plenair-ip011x-meta.tsv,2014-10-16,19,0,20
ParlaMint-BE-en_2014-10-16-54-plenair-ip012x-meta.tsv,2014-10-16,22,0,18
ParlaMint-BE-en_2014-10-23-54-plenair-ip013x-meta.tsv,2014-10-23,8,0,17
ParlaMint-BE-en_2014-11-04-54-commissie-ic010x-meta.tsv,2014-11-04,3,0,4
ParlaMint-BE-en_2014-11-04-54-commissie-ic011x-meta.tsv,2014-11-04,2,0,5
ParlaMint-BE-en_2014-11-05-54-commissie-ic012x-meta.tsv,2014-11-05,4,0,5
ParlaMint-BE-en_2014-11-05-54-commissie-ic013x-meta.tsv,2014-11-05,9,0,7
ParlaMint-BE-en_2014-11-06-54-plenair-ip014x-meta.tsv,2014-11-06,9,0,17
ParlaMint-BE-en_2014-11-12-54-commissie-ic014x-meta.tsv,2014-11-12,0,0,1
ParlaMint-BE-en_2014-11-12-54-commissie-ic015x-meta.tsv,2014-11-12,6,0,10
ParlaMint-BE-en_2014-11-12-54-commissie-ic016x-meta.tsv,2014-11-12,5,0,5
ParlaMint-BE-en_2014-11-12-54-commissie-ic017x-meta.tsv,2014-11-12,5,0,3
ParlaMint-BE-en_2014-11-13-54-plenair-ip015x-meta.tsv,2014-11-13,12,0,18
ParlaMint-BE-en_2014-11-18-54-commissie-ic018x-meta.tsv,2014-11-18,0,0,2
ParlaMint-BE-en_2014-11-18-54-commissie-ic019x-meta.tsv,2014-11-18,1,0,0
ParlaMint-BE-en_2014-11-18-54-commissie-ic020x-meta.tsv,2014-11-18,2,0,1
ParlaMint-BE-en_2014-11-19-54-commissie-ic021x-meta.tsv,2014-11-19,5,0,8
ParlaMint-BE-en_2014-11-19-54-commissie-ic022x-meta.tsv,2014-11-19,4,0,4
ParlaMint-BE-en_2014-11-19-54-commissie-ic023x-meta.tsv,2014-11-19,4,0,3
ParlaMint-BE-en_2014-11-19-54-commissie-ic026x-meta.tsv,2014-11-19,5,0,6
ParlaMint-BE-en_2014-11-20-54-plenair-ip016x-meta.tsv,2014-11-20,11,0,18
ParlaMint-BE-en_2014-11-26-54-commissie-ic027x-meta.tsv,2014-11-26,4,0,5
ParlaMint-BE-en_2014-11-26-54-commissie-ic028x-meta.tsv,2014-11-26,3,0,4
ParlaMint-BE-en_2014-11-26-54-commissie-ic029x-meta.tsv,2014-11-26,8,0,8
ParlaMint-BE-en_2014-11-26-54-commissie-ic030x-meta.tsv,2014-11-26,1,0,2
ParlaMint-BE-en_2014-11-27-54-plenair-ip017x-meta.tsv,2014-11-27,8,0,13
ParlaMint-BE-en_2014-12-02-54-commissie-ic031x-meta.tsv,2014-12-02,0,0,1
ParlaMint-BE-en_2014-12-03-54-commissie-ic032x-meta.tsv,2014-12-03,0,0,1
ParlaMint-BE-en_2014-12-03-54-commissie-ic033x-meta.tsv,2014-12-03,3,0,6
ParlaMint-BE-en_2014-12-04-54-plenair-ip018x-meta.tsv,2014-12-04,4,0,14
ParlaMint-BE-en_2014-12-10-54-commissie-ic035x-meta.tsv,2014-12-10,2,0,3
ParlaMint-BE-en_2014-12-10-54-commissie-ic036x-meta.tsv,2014-12-10,8,0,12
ParlaMint-BE-en_2014-12-11-54-plenair-ip019x-meta.tsv,2014-12-11,0,0,1
ParlaMint-BE-en_2014-12-11-54-plenair-ip020x-meta.tsv,2014-12-11,11,0,19
ParlaMint-BE-en_2014-12-16-54-commissie-ic037x-meta.tsv,2014-12-16,3,0,6
ParlaMint-BE-en_2014-12-16-54-commissie-ic038x-meta.tsv,2014-12-16,3,0,8
ParlaMint-BE-en_2014-12-16-54-commissie-ic039x-meta.tsv,2014-12-16,5,0,14
ParlaMint-BE-en_2014-12-16-54-commissie-ic040x-meta.tsv,2014-12-16,2,0,6
ParlaMint-BE-en_2014-12-16-54-commissie-ic041x-meta.tsv,2014-12-16,5,0,4
ParlaMint-BE-en_2014-12-17-54-plenair-ip021x-meta.tsv,2014-12-17,8,0,11
ParlaMint-BE-en_2014-12-17-54-plenair-ip022x-meta.tsv,2014-12-17,13,0,15
ParlaMint-BE-en_2014-12-17-54-plenair-ip023x-meta.tsv,2014-12-17,23,0,20
ParlaMint-BE-en_2014-12-18-54-plenair-ip024x-meta.tsv,2014-12-18,20,0,16
ParlaMint-BE-en_2014-12-19-54-plenair-ip025x-meta.tsv,2014-12-19,14,0,16
ParlaMint-BE-en_2015-01-06-54-commissie-ic042x-meta.tsv,2015-01-06,2,0,1
ParlaMint-BE-en_2015-01-06-54-commissie-ic043x-meta.tsv,2015-01-06,5,0,5
ParlaMint-BE-en_2015-01-06-54-commissie-ic044x-meta.tsv,2015-01-06,7,0,3
ParlaMint-BE-en_2015-01-07-54-commissie-ic045x-meta.tsv,2015-01-07,2,0,3
ParlaMint-BE-en_2015-01-07-54-commissie-ic046x-meta.tsv,2015-01-07,5,0,6
ParlaMint-BE-en_2015-01-07-54-commissie-ic047x-meta.tsv,2015-01-07,0,0,2
