Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-LV-en_2014-11-18-PT12-272	ParlaMint-LV_2014-11-18-PT12-272-U1	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-18	2014-11-18	Unicameralism	12. sasaukums	-	Regulārā	2014-11-18	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-18-PT12-272	ParlaMint-LV_2014-11-18-PT12-272-U2	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-18	2014-11-18	Unicameralism	12. sasaukums	-	Regulārā	2014-11-18	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	DaudzeGundars	Daudze, Gundars	M	-	
ParlaMint-LV-en_2014-11-18-PT12-272	ParlaMint-LV_2014-11-18-PT12-272-U3	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-18	2014-11-18	Unicameralism	12. sasaukums	-	Regulārā	2014-11-18	-	Reference	English	Guest	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
ParlaMint-LV-en_2014-11-18-PT12-272	ParlaMint-LV_2014-11-18-PT12-272-U4	Latvian parliamentary corpus ParlaMint-LV-en, 12th Term, 2014-11-18	2014-11-18	Unicameralism	12. sasaukums	-	Regulārā	2014-11-18	-	Reference	English	Chairperson	notMP	notMinister	-	-	-	-	MūrnieceInāra	Mūrniece, Ināra	F	-	
