Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2012-09-04-m0	ParlaMint-UA_2012-09-04-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-09-04, n0	2012-09-04	Unicameralism	6	11	-	2012-09-04	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2012-09-04-m0	ParlaMint-UA_2012-09-04-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-09-04, n0	2012-09-04	Unicameralism	6	11	-	2012-09-04	-	Reference	English	Regular	notMP	notMinister	PR	Party of Regions	-	Centre	МиколаЯновичАзаров.1947	Azarov, Mykola Janovyč	M	1947	
ParlaMint-UA-en_2012-09-04-m0	ParlaMint-UA_2012-09-04-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-09-04, n0	2012-09-04	Unicameralism	6	11	-	2012-09-04	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2012-09-04-m0	ParlaMint-UA_2012-09-04-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-09-04, n0	2012-09-04	Unicameralism	6	11	-	2012-09-04	-	Reference	English	Chairperson	MP	notMinister	bLytvyn	Lytvyn Bloc	-	Centre	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
