Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-UA-en_2012-12-12-m0	ParlaMint-UA_2012-12-12-m0.u1	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-12-12, n0	2012-12-12	Unicameralism	6	11	-	2012-12-12	-	Reference	English	Chairperson	MP	notMinister	bLytvyn;NP	Lytvyn Bloc;People's Party	-	Centre;Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2012-12-12-m0	ParlaMint-UA_2012-12-12-m0.u2	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-12-12, n0	2012-12-12	Unicameralism	6	11	-	2012-12-12	-	Reference	English	Regular	MP	notMinister	frPR	Party of Regions Faction	Coalition	Centre	ЮхимЛеонідовичЗвягільський.1933	Zvjahil's'kyj, Juchym Leonidovyč	M	1933	
ParlaMint-UA-en_2012-12-12-m0	ParlaMint-UA_2012-12-12-m0.u3	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-12-12, n0	2012-12-12	Unicameralism	6	11	-	2012-12-12	-	Reference	English	Chairperson	MP	notMinister	bLytvyn;NP	Lytvyn Bloc;People's Party	-	Centre;Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
ParlaMint-UA-en_2012-12-12-m0	ParlaMint-UA_2012-12-12-m0.u4	Ukrainian parliamentary corpus ParlaMint-UA-en, term 6, session 11, sitting day 2012-12-12, n0	2012-12-12	Unicameralism	6	11	-	2012-12-12	-	Reference	English	Chairperson	MP	notMinister	bLytvyn;NP	Lytvyn Bloc;People's Party	-	Centre;Centre to centre-left	ВолодимирМихайловичЛитвин.1956	Lytvyn, Volodymyr Mychajlovyč	M	1956	
