Session,Date,Silent Generation,Baby Boomers,Generation X,Millennials,Generation Z
ParlaMint-HR-en_2003-12-22-0-meta.tsv,2003-12-22,2,6,1,0,0
ParlaMint-HR-en_2003-12-22-1-meta.tsv,2003-12-22,3,22,2,0,0
ParlaMint-HR-en_2003-12-23-0-meta.tsv,2003-12-23,6,25,5,0,0
ParlaMint-HR-en_2004-01-27-0-meta.tsv,2004-01-27,11,60,8,0,0
ParlaMint-HR-en_2004-01-28-0-meta.tsv,2004-01-28,12,44,5,0,0
ParlaMint-HR-en_2004-01-29-0-meta.tsv,2004-01-29,7,52,8,0,0
ParlaMint-HR-en_2004-01-30-0-meta.tsv,2004-01-30,5,43,4,0,0
ParlaMint-HR-en_2004-02-25-0-meta.tsv,2004-02-25,11,65,9,0,0
ParlaMint-HR-en_2004-02-26-0-meta.tsv,2004-02-26,6,40,4,0,0
ParlaMint-HR-en_2004-02-27-0-meta.tsv,2004-02-27,20,84,11,0,0
ParlaMint-HR-en_2004-03-03-0-meta.tsv,2004-03-03,12,54,7,0,0
ParlaMint-HR-en_2004-03-23-0-meta.tsv,2004-03-23,13,61,10,0,0
ParlaMint-HR-en_2004-03-24-0-meta.tsv,2004-03-24,5,23,1,0,0
ParlaMint-HR-en_2004-03-25-0-meta.tsv,2004-03-25,8,37,6,0,0
ParlaMint-HR-en_2004-03-26-0-meta.tsv,2004-03-26,7,20,8,0,0
ParlaMint-HR-en_2004-03-31-0-meta.tsv,2004-03-31,8,44,6,0,0
ParlaMint-HR-en_2004-04-01-0-meta.tsv,2004-04-01,6,30,3,0,0
ParlaMint-HR-en_2004-04-02-0-meta.tsv,2004-04-02,3,16,2,0,0
ParlaMint-HR-en_2004-04-21-0-meta.tsv,2004-04-21,11,66,7,0,0
ParlaMint-HR-en_2004-04-22-0-meta.tsv,2004-04-22,6,33,7,0,0
ParlaMint-HR-en_2004-04-23-0-meta.tsv,2004-04-23,2,15,1,0,0
ParlaMint-HR-en_2004-04-28-0-meta.tsv,2004-04-28,6,44,2,0,0
ParlaMint-HR-en_2004-04-29-0-meta.tsv,2004-04-29,4,35,2,0,0
ParlaMint-HR-en_2004-04-30-0-meta.tsv,2004-04-30,8,24,1,0,0
ParlaMint-HR-en_2004-05-26-0-meta.tsv,2004-05-26,15,72,10,0,0
ParlaMint-HR-en_2004-06-02-0-meta.tsv,2004-06-02,10,46,6,0,0
