Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2005-06-30-0	ParlaMint-BA_2005-06-30-0.u4632	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 44	2005-06-30	Unicameralism	4. mandat	-	Sjednica 44	2005-06-30	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2005-06-30-0	ParlaMint-BA_2005-06-30-0.u4633	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 44	2005-06-30	Unicameralism	4. mandat	-	Sjednica 44	2005-06-30	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ČengićHasan	Čengić, Hasan	M	1957	
ParlaMint-BA-en_2005-06-30-0	ParlaMint-BA_2005-06-30-0.u4634	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 44	2005-06-30	Unicameralism	4. mandat	-	Sjednica 44	2005-06-30	-	Reference	English	Chairperson	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
