Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4407	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4408	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	ČengićHasan	Čengić, Hasan	M	1957	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4409	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4410	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Regular	MP	notMinister	PDP	Partija demokratskog progresa	Opposition	Centre to centre-right	MilojevićGoran	Milojević, Goran	M	1960	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4411	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4412	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Regular	MP	notMinister	SBiH	Stranka za Bosnu i Hercegovinu	Opposition	Centre	PamukMustafa	Pamuk, Mustafa	M	1937	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4413	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4414	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	LimovTomislav	Limov, Tomislav	M	1954	
ParlaMint-BA-en_2005-05-09-0	ParlaMint-BA_2005-05-09-0.u4415	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 4, Session 41	2005-05-09	Unicameralism	4. mandat	-	Sjednica 41	2005-05-09	-	Reference	English	Chairperson	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	Opposition	Centre-right	JukićVelimir	Jukić, Velimir	M	1960	
