Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-06-17-022-XXII-NRSITZ-00068	ParlaMint-AT_2004-06-17-022-XXII-NRSITZ-00068_d7e337	Sitting Number 68, Legislative period XXII, Thursday, 17. June 2004	2004-06-17	Lower house	Legislative period XXII	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2004-06-17-022-XXII-NRSITZ-00068	ParlaMint-AT_2004-06-17-022-XXII-NRSITZ-00068_d7e365	Sitting Number 68, Legislative period XXII, Thursday, 17. June 2004	2004-06-17	Lower house	Legislative period XXII	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
ParlaMint-AT-en_2004-06-17-022-XXII-NRSITZ-00068	ParlaMint-AT_2004-06-17-022-XXII-NRSITZ-00068_d7e535	Sitting Number 68, Legislative period XXII, Thursday, 17. June 2004	2004-06-17	Lower house	Legislative period XXII	-	-	Sitting 68	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_04476	Prammer, Barbara	F	1954	
