Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-12-10-022-XXII-NRSITZ-00091	ParlaMint-AT_2004-12-10-022-XXII-NRSITZ-00091_d7e470	Sitting Number 91, Legislative period XXII, Friday, 10. December 2004	2004-12-10	Lower house	Legislative period XXII	-	-	Sitting 91	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-12-10-022-XXII-NRSITZ-00091	ParlaMint-AT_2004-12-10-022-XXII-NRSITZ-00091_d7e498	Sitting Number 91, Legislative period XXII, Friday, 10. December 2004	2004-12-10	Lower house	Legislative period XXII	-	-	Sitting 91	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-12-10-022-XXII-NRSITZ-00091	ParlaMint-AT_2004-12-10-022-XXII-NRSITZ-00091_d7e644	Sitting Number 91, Legislative period XXII, Friday, 10. December 2004	2004-12-10	Lower house	Legislative period XXII	-	-	Sitting 91	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
