Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00052	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00052_d7e409	Sitting Number 52, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00052	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00052_d7e440	Sitting Number 52, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-02-26-022-XXII-NRSITZ-00052	ParlaMint-AT_2004-02-26-022-XXII-NRSITZ-00052_d7e608	Sitting Number 52, Legislative period XXII, Thursday, 26. February 2004	2004-02-26	Lower house	Legislative period XXII	-	-	Sitting 52	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
