Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-03-25-022-XXII-NRSITZ-00057	ParlaMint-AT_2004-03-25-022-XXII-NRSITZ-00057_d7e475	Sitting Number 57, Legislative period XXII, Thursday, 25. March 2004	2004-03-25	Lower house	Legislative period XXII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-03-25-022-XXII-NRSITZ-00057	ParlaMint-AT_2004-03-25-022-XXII-NRSITZ-00057_d7e503	Sitting Number 57, Legislative period XXII, Thursday, 25. March 2004	2004-03-25	Lower house	Legislative period XXII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-03-25-022-XXII-NRSITZ-00057	ParlaMint-AT_2004-03-25-022-XXII-NRSITZ-00057_d7e621	Sitting Number 57, Legislative period XXII, Thursday, 25. March 2004	2004-03-25	Lower house	Legislative period XXII	-	-	Sitting 57	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
