Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-01-29-022-XXII-NRSITZ-00047	ParlaMint-AT_2004-01-29-022-XXII-NRSITZ-00047_d7e403	Sitting Number 47, Legislative period XXII, Thursday, 29. January 2004	2004-01-29	Lower house	Legislative period XXII	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-01-29-022-XXII-NRSITZ-00047	ParlaMint-AT_2004-01-29-022-XXII-NRSITZ-00047_d7e431	Sitting Number 47, Legislative period XXII, Thursday, 29. January 2004	2004-01-29	Lower house	Legislative period XXII	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-01-29-022-XXII-NRSITZ-00047	ParlaMint-AT_2004-01-29-022-XXII-NRSITZ-00047_d7e580	Sitting Number 47, Legislative period XXII, Thursday, 29. January 2004	2004-01-29	Lower house	Legislative period XXII	-	-	Sitting 47	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
