Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-06-28-022-XXII-NRSITZ-00070	ParlaMint-AT_2004-06-28-022-XXII-NRSITZ-00070_d7e337	Sitting Number 70, Legislative period XXII, Monday, 28. June 2004	2004-06-28	Lower house	Legislative period XXII	-	-	Sitting 70	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-06-28-022-XXII-NRSITZ-00070	ParlaMint-AT_2004-06-28-022-XXII-NRSITZ-00070_d7e365	Sitting Number 70, Legislative period XXII, Monday, 28. June 2004	2004-06-28	Lower house	Legislative period XXII	-	-	Sitting 70	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-06-28-022-XXII-NRSITZ-00070	ParlaMint-AT_2004-06-28-022-XXII-NRSITZ-00070_d7e474	Sitting Number 70, Legislative period XXII, Monday, 28. June 2004	2004-06-28	Lower house	Legislative period XXII	-	-	Sitting 70	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
