Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-01-13-022-XXII-NRSITZ-00044	ParlaMint-AT_2004-01-13-022-XXII-NRSITZ-00044_d7e418	Sitting Number 44, Legislative period XXII, Tuesday, 13. January 2004	2004-01-13	Lower house	Legislative period XXII	-	-	Sitting 44	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-01-13-022-XXII-NRSITZ-00044	ParlaMint-AT_2004-01-13-022-XXII-NRSITZ-00044_d7e458	Sitting Number 44, Legislative period XXII, Tuesday, 13. January 2004	2004-01-13	Lower house	Legislative period XXII	-	-	Sitting 44	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-01-13-022-XXII-NRSITZ-00044	ParlaMint-AT_2004-01-13-022-XXII-NRSITZ-00044_d7e577	Sitting Number 44, Legislative period XXII, Tuesday, 13. January 2004	2004-01-13	Lower house	Legislative period XXII	-	-	Sitting 44	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
