Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-02-10-022-XXII-NRSITZ-00049	ParlaMint-AT_2004-02-10-022-XXII-NRSITZ-00049_d7e371	Sitting Number 49, Legislative period XXII, Tuesday, 10. February 2004	2004-02-10	Lower house	Legislative period XXII	-	-	Sitting 49	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-10-022-XXII-NRSITZ-00049	ParlaMint-AT_2004-02-10-022-XXII-NRSITZ-00049_d7e399	Sitting Number 49, Legislative period XXII, Tuesday, 10. February 2004	2004-02-10	Lower house	Legislative period XXII	-	-	Sitting 49	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-02-10-022-XXII-NRSITZ-00049	ParlaMint-AT_2004-02-10-022-XXII-NRSITZ-00049_d7e558	Sitting Number 49, Legislative period XXII, Tuesday, 10. February 2004	2004-02-10	Lower house	Legislative period XXII	-	-	Sitting 49	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
