Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-05-27-022-XXII-NRSITZ-00063	ParlaMint-AT_2004-05-27-022-XXII-NRSITZ-00063_d7e343	Sitting Number 63, Legislative period XXII, Thursday, 27. May 2004	2004-05-27	Lower house	Legislative period XXII	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2004-05-27-022-XXII-NRSITZ-00063	ParlaMint-AT_2004-05-27-022-XXII-NRSITZ-00063_d7e374	Sitting Number 63, Legislative period XXII, Thursday, 27. May 2004	2004-05-27	Lower house	Legislative period XXII	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2004-05-27-022-XXII-NRSITZ-00063	ParlaMint-AT_2004-05-27-022-XXII-NRSITZ-00063_d7e545	Sitting Number 63, Legislative period XXII, Thursday, 27. May 2004	2004-05-27	Lower house	Legislative period XXII	-	-	Sitting 63	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
