Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-05-06-022-XXII-NRSITZ-00060	ParlaMint-AT_2004-05-06-022-XXII-NRSITZ-00060_d7e361	Sitting Number 60, Legislative period XXII, Thursday, 6. May 2004	2004-05-06	Lower house	Legislative period XXII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-05-06-022-XXII-NRSITZ-00060	ParlaMint-AT_2004-05-06-022-XXII-NRSITZ-00060_d7e389	Sitting Number 60, Legislative period XXII, Thursday, 6. May 2004	2004-05-06	Lower house	Legislative period XXII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
ParlaMint-AT-en_2004-05-06-022-XXII-NRSITZ-00060	ParlaMint-AT_2004-05-06-022-XXII-NRSITZ-00060_d7e582	Sitting Number 60, Legislative period XXII, Thursday, 6. May 2004	2004-05-06	Lower house	Legislative period XXII	-	-	Sitting 60	-	Reference	English	Chairperson	MP	notMinister	SPÖ	parliamentary group of the Social Democratic Party of Austria	Opposition	Centre-left	PAD_00334	Fischer, Heinz	M	1938	
