Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-10-14-022-XXII-NRSITZ-00080	ParlaMint-AT_2004-10-14-022-XXII-NRSITZ-00080_d7e346	Sitting Number 80, Legislative period XXII, Thursday, 14. October 2004	2004-10-14	Lower house	Legislative period XXII	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2004-10-14-022-XXII-NRSITZ-00080	ParlaMint-AT_2004-10-14-022-XXII-NRSITZ-00080_d7e374	Sitting Number 80, Legislative period XXII, Thursday, 14. October 2004	2004-10-14	Lower house	Legislative period XXII	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
ParlaMint-AT-en_2004-10-14-022-XXII-NRSITZ-00080	ParlaMint-AT_2004-10-14-022-XXII-NRSITZ-00080_d7e463	Sitting Number 80, Legislative period XXII, Thursday, 14. October 2004	2004-10-14	Lower house	Legislative period XXII	-	-	Sitting 80	-	Reference	English	Chairperson	MP	notMinister	FPÖ	parliamentary group of the Austrian Freedom Party	-	Right to far-right	PAD_03613	Prinzhorn, Thomas	M	1943	
