Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-AT-en_2004-09-22-022-XXII-NRSITZ-00077	ParlaMint-AT_2004-09-22-022-XXII-NRSITZ-00077_d7e324	Sitting Number 77, Legislative period XXII, Wednesday, 22. September 2004	2004-09-22	Lower house	Legislative period XXII	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-09-22-022-XXII-NRSITZ-00077	ParlaMint-AT_2004-09-22-022-XXII-NRSITZ-00077_d7e352	Sitting Number 77, Legislative period XXII, Wednesday, 22. September 2004	2004-09-22	Lower house	Legislative period XXII	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
ParlaMint-AT-en_2004-09-22-022-XXII-NRSITZ-00077	ParlaMint-AT_2004-09-22-022-XXII-NRSITZ-00077_d7e496	Sitting Number 77, Legislative period XXII, Wednesday, 22. September 2004	2004-09-22	Lower house	Legislative period XXII	-	-	Sitting 77	-	Reference	English	Chairperson	MP	notMinister	ÖVP	parliamentary group of the Austrian People's Party	-	Centre-right to right	PAD_00799	Khol, Andreas	M	1941	
