Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u1	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u2	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u3	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u4	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u5	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u6	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u7	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u8	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u9	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u10	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-02-20-tweedekamer-10	ParlaMint-NL_2019-02-20-tweedekamer-10.u11	Report of the meeting of the Dutch Lower House, Meeting 56, Session 10 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 10	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
