Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	HugodeJonge	de Jonge, Hugo	M	1977	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	RonaldvanRaak	van Raak, Ronald	M	1969	
ParlaMint-NL-en_2019-09-03-tweedekamer-5	ParlaMint-NL_2019-09-03-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 103, Session 5 (2019-09-03)	2019-09-03	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 103	Sitting 2019-09-03	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
