Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u1	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u2	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u3	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u4	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u5	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u6	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u7	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	D66	Democraten 66	Coalition	Centre	StevenvanWeyenberg	van Weyenberg, Steven	M	1973	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u8	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u9	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RoaldvanderLinde	van der Linde, Roald	M	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u10	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	Minister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WopkeHoekstra	Hoekstra, Wopke	M	1975	
ParlaMint-NL-en_2019-09-24-tweedekamer-2	ParlaMint-NL_2019-09-24-tweedekamer-2.u11	Report of the meeting of the Dutch Lower House, Meeting 4, Session 2 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 2	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	TonyvanDijck	van Dijck, Tony	M	1963	
