Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Regular	MP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	IsabelleDiks	Diks, Isabelle	F	1965	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ErikRonnes	Ronnes, Erik	M	1967	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	ChrisvanDam	van Dam, Chris	M	1963	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TomvanderLee	van der Lee, Tom	M	1964	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-07-02-tweedekamer-8	ParlaMint-NL_2019-07-02-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 100, Session 8 (2019-07-02)	2019-07-02	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 100	Sitting 2019-07-02	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AgnesMulder	Mulder, Agnes	F	1973	
