Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	LennyGeluk-Poortvliet	Geluk-Poortvliet, Lenny	F	1943	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u14	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u15	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	LennyGeluk-Poortvliet	Geluk-Poortvliet, Lenny	F	1943	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u16	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u17	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	ZohairElYassini	El Yassini, Zohair	M	1979	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u18	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u19	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u20	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u21	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Regular	notMP	Minister	D66	Democraten 66	Coalition	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2019-10-01-tweedekamer-4	ParlaMint-NL_2019-10-01-tweedekamer-4.u22	Report of the meeting of the Dutch Lower House, Meeting 7, Session 4 (2019-10-01)	2019-10-01	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 7	Sitting 2019-10-01	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
