Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u1	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u2	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u3	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexandervanHattem	van Hattem, Alexander	M	1983	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u4	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u5	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	FritsLintmeijer	Lintmeijer, Frits	M	1957	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u6	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u7	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	FrankKöhler	Köhler, Frank	M	1953	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u8	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u9	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	MaryFiers	Fiers, Mary	F	1968	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u10	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-03-05-eerstekamer-10	ParlaMint-NL_2019-03-05-eerstekamer-10.u11	Report of the meeting of the Dutch Upper House, Meeting 20, Session 10 (2019-03-05)	2019-03-05	Upper house	Meeting of the 35th Eerste Kamer	Session 10	Meeting 20	Sitting 2019-03-05	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
