Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	MP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JobavandenBerg	van den Berg, Joba	F	1958	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FemkeMerelvanKooten-Arissen	van Kooten-Arissen, Femke Merel	F	1983	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	MP	notMinister	PvdD	Partij voor de Dieren	Opposition	Left	FemkeMerelvanKooten-Arissen	van Kooten-Arissen, Femke Merel	F	1983	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	CorinneEllemeet	Ellemeet, Corinne	F	1976	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	MaartenHijink	Hijink, Maarten	M	1983	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EdgarMulder	Mulder, Edgar	M	1961	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EdgarMulder	Mulder, Edgar	M	1961	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u11	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	EdgarMulder	Mulder, Edgar	M	1961	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u12	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RensRaemakers	Raemakers, Rens	M	1991	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u13	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u14	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u15	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Regular	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	BrunoBruins	Bruins, Bruno	M	1963	
ParlaMint-NL-en_2019-02-20-tweedekamer-12	ParlaMint-NL_2019-02-20-tweedekamer-12.u16	Report of the meeting of the Dutch Lower House, Meeting 56, Session 12 (2019-02-20)	2019-02-20	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 56	Sitting 2019-02-20	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
