Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u1	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u2	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexanderKops	Kops, Alexander	M	1984	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u3	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u4	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u5	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexanderKops	Kops, Alexander	M	1984	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u6	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u7	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	AlexanderKops	Kops, Alexander	M	1984	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u8	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	MatthijsSienot	Sienot, Matthijs	M	1972	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u9	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u10	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	WilliamMoorlag	Moorlag, William	M	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u11	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u12	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u13	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	Gerrit-JanvanOtterloo	van Otterloo, Gerrit-Jan	M	1949	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u14	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u15	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	Gerrit-JanvanOtterloo	van Otterloo, Gerrit-Jan	M	1949	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u16	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	MonaKeijzer	Keijzer, Mona	F	1968	
ParlaMint-NL-en_2019-09-24-tweedekamer-4	ParlaMint-NL_2019-09-24-tweedekamer-4.u17	Report of the meeting of the Dutch Lower House, Meeting 4, Session 4 (2019-09-24)	2019-09-24	Lower house	Meeting of the 29th Tweede Kamer	Session 4	Meeting 4	Sitting 2019-09-24	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
