Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u1	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u2	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u3	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u4	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u5	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u6	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u7	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u8	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u9	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnnemarieJorritsma-Lebbink	Jorritsma-Lebbink, Annemarie	F	1950	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u10	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u11	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	CU	ChristenUnie	Coalition	Centre-right	RoelKuiper	Kuiper, Roel	M	1962	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u12	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u13	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	TinekeStrik	Strik, Tineke	F	1961	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u14	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u15	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u16	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	HansEngels	Engels, Hans	M	1951	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u17	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
ParlaMint-NL-en_2019-02-12-eerstekamer-5	ParlaMint-NL_2019-02-12-eerstekamer-5.u18	Report of the meeting of the Dutch Upper House, Meeting 18, Session 5 (2019-02-12)	2019-02-12	Upper house	Meeting of the 35th Eerste Kamer	Session 5	Meeting 18	Sitting 2019-02-12	-	Reference	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AnkieBroekers-Knol	Broekers-Knol, Ankie	F	1946	
