Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u1	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u2	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	WytskePostma	Postma, Wytske	F	-	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u3	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RutgerSchonis	Schonis, Rutger	M	1976	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u4	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	D66	Democraten 66	Coalition	Centre	RutgerSchonis	Schonis, Rutger	M	1976	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u5	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u6	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u7	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	RemcoDijkstra	Dijkstra, Remco	M	1972	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u8	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RoyvanAalst	van Aalst, Roy	M	1983	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u9	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	MP	notMinister	PVV	Partij voor de Vrijheid	Opposition	Right to far-right	RoyvanAalst	van Aalst, Roy	M	1983	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u10	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Regular	notMP	notMinister	SP	Socialistische Partij	Opposition	Left	CemLaçin	Laçin, Cem	M	1986	
ParlaMint-NL-en_2019-12-19-tweedekamer-42	ParlaMint-NL_2019-12-19-tweedekamer-42.u11	Report of the meeting of the Dutch Lower House, Meeting 39, Session 42 (2019-12-19)	2019-12-19	Lower house	Meeting of the 29th Tweede Kamer	Session 42	Meeting 39	Sitting 2019-12-19	-	Reference	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
