Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1730	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1733	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Regular	MP	notMinister	HDZ_BiH	Hrvatska demokratska zajednica Bosne i Hercegovine	-	Centre-right	JovićIvoMiro	Jović, Ivo Miro	M	1950	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1734	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1735	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KoprivicaZoran	Koprivica, Zoran	M	1959	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1736	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1737	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Regular	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	RančićHazim	Rančić, Hazim	M	1961	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1738	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1739	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Regular	MP	notMinister	SDP_BiH	Socijaldemokratska partija Bosne i Hercegovine	Opposition	Centre-left	IbrahimpašićAdem	Ibrahimpašić, Adem	M	1942	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1740	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1741	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Regular	MP	notMinister	SNSD	Savez nezavisnih socijaldemokrata	Opposition	Syncretic politics	KoprivicaZoran	Koprivica, Zoran	M	1959	
ParlaMint-BA-en_2008-03-20-0	ParlaMint-BA_2008-03-20-0.u1742	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 14	2008-03-20	Unicameralism	5. mandat	-	Sjednica 14	2008-03-20	-	Reference	English	Chairperson	MP	notMinister	SDA	Stranka demokratske akcije	Opposition	Centre-right to right	TihićSulejman	Tihić, Sulejman	M	1951	
