Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-BA-en_2008-10-08-0	ParlaMint-BA_2008-10-08-0.u20817	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 35n	2008-10-08	Unicameralism	5. mandat	-	Sjednica 35n	2008-10-08	-	Reference	English	Chairperson	MP	notMinister	HDZ-HK-HNZ	Koalicija HDZ-HK-HNZ	Coalition	Centre-right	LozančićNiko	Lozančić, Niko	M	1957	
ParlaMint-BA-en_2008-10-08-0	ParlaMint-BA_2008-10-08-0.u20820	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 35n	2008-10-08	Unicameralism	5. mandat	-	Sjednica 35n	2008-10-08	-	Reference	English	Regular	MP	notMinister	-	-	-	-	NovakovićMomčilo	Novaković, Momčilo	M	1955	
ParlaMint-BA-en_2008-10-08-0	ParlaMint-BA_2008-10-08-0.u20821	Minutes of the Parliamentary Assembly of Bosnia and Herzegovina, Term 5, Session 35n	2008-10-08	Unicameralism	5. mandat	-	Sjednica 35n	2008-10-08	-	Reference	English	Chairperson	MP	notMinister	HDZ-HK-HNZ	Koalicija HDZ-HK-HNZ	Coalition	Centre-right	LozančićNiko	Lozančić, Niko	M	1957	
