Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100013	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100058	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100118	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100147	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100203	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Regular	MP	notMinister	V	Venstre	Opposition	Centre-right	EllemannKaren	Ellemann, Karen	F	1969	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100312	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100324	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-12-20182-M8	ParlaMint-DK_20190912100348	Hansard of the session of the Danish Parliament (Folketinget), 20182, M8 (2019-09-12), preliminary version	2019-09-12	Unicameralism	Regeringen Mette Frederiksen	20182	M8	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
