Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-07-04-20182-M4	ParlaMint-DK_20190704130005	Hansard of the session of the Danish Parliament (Folketinget), 20182, M4 (2019-07-04), preliminary version	2019-07-04	Unicameralism	Regeringen Mette Frederiksen	20182	M4	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	BonnesenErling	Bonnesen, Erling	M	1955	
ParlaMint-DK-en_2019-07-04-20182-M4	ParlaMint-DK_20190704130337	Hansard of the session of the Danish Parliament (Folketinget), 20182, M4 (2019-07-04), preliminary version	2019-07-04	Unicameralism	Regeringen Mette Frederiksen	20182	M4	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	BonnesenErling	Bonnesen, Erling	M	1955	
ParlaMint-DK-en_2019-07-04-20182-M4	ParlaMint-DK_20190704130445	Hansard of the session of the Danish Parliament (Folketinget), 20182, M4 (2019-07-04), preliminary version	2019-07-04	Unicameralism	Regeringen Mette Frederiksen	20182	M4	-	-	Reference	English	Chairperson	MP	notMinister	V	Venstre	Opposition	Centre-right	BonnesenErling	Bonnesen, Erling	M	1955	
