Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-09-10-20182-M7	ParlaMint-DK_20190910130010	Hansard of the session of the Danish Parliament (Folketinget), 20182, M7 (2019-09-10), preliminary version	2019-09-10	Unicameralism	Regeringen Mette Frederiksen	20182	M7	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-10-20182-M7	ParlaMint-DK_20190910130125	Hansard of the session of the Danish Parliament (Folketinget), 20182, M7 (2019-09-10), preliminary version	2019-09-10	Unicameralism	Regeringen Mette Frederiksen	20182	M7	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-10-20182-M7	ParlaMint-DK_20190910130157	Hansard of the session of the Danish Parliament (Folketinget), 20182, M7 (2019-09-10), preliminary version	2019-09-10	Unicameralism	Regeringen Mette Frederiksen	20182	M7	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-09-10-20182-M7	ParlaMint-DK_20190910130217	Hansard of the session of the Danish Parliament (Folketinget), 20182, M7 (2019-09-10), preliminary version	2019-09-10	Unicameralism	Regeringen Mette Frederiksen	20182	M7	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
