Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130011	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130025	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130044	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130105	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130142	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130157	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Regular	MP	notMinister	V	Venstre	Coalition	Centre-right	JuelJensenPeter	Juel-Jensen, Peter	M	1966	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130517	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130524	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-06-25-20182-M3	ParlaMint-DK_20190625130552	Hansard of the session of the Danish Parliament (Folketinget), 20182, M3 (2019-06-25), preliminary version	2019-06-25	Unicameralism	Regeringen Lars Løkke Rasmussen III	20182	M3	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Opposition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
