Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-DK-en_2019-10-02-20191-M2	ParlaMint-DK_20191002130004	Hansard of the session of the Danish Parliament (Folketinget), 20191, M2 (2019-10-02), final version	2019-10-02	Unicameralism	Regeringen Mette Frederiksen	20191	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-02-20191-M2	ParlaMint-DK_20191002130244	Hansard of the session of the Danish Parliament (Folketinget), 20191, M2 (2019-10-02), final version	2019-10-02	Unicameralism	Regeringen Mette Frederiksen	20191	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
ParlaMint-DK-en_2019-10-02-20191-M2	ParlaMint-DK_20191002130326	Hansard of the session of the Danish Parliament (Folketinget), 20191, M2 (2019-10-02), final version	2019-10-02	Unicameralism	Regeringen Mette Frederiksen	20191	M2	-	-	Reference	English	Chairperson	MP	notMinister	S	Socialdemokratiet	Coalition	Centre-left	KristensenHenrikDam	Kristensen, Henrik Dam	M	1957	
