Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	BBB	Boeren Burger Beweging	-	Centre-right	CarolinevanderPlas	van der Plas, Caroline	F	1967	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-01-tweedekamer-5	ParlaMint-NL_2021-07-01-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 96, Session 5 (2021-07-01)	2021-07-01	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 96	Sitting 2021-07-01	-	COVID	English	Regular	notMP	notMinister	BBB	Boeren Burger Beweging	-	Centre-right	CarolinevanderPlas	van der Plas, Caroline	F	1967	
