Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u1	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u2	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	VickyMaeijer	Maeijer, Vicky	F	1986	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u3	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	VickyMaeijer	Maeijer, Vicky	F	1986	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u4	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	MustafaAmhaouch	Amhaouch, Mustafa	M	1970	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u5	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u6	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u7	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u8	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u9	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u10	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u11	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	-	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u12	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	FvD	Forum voor Democratie	-	Far-right	PepijnvanHouwelingen	van Houwelingen, Pepijn	M	1980	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u13	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KatiPiri	Piri, Kati	F	1979	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u14	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u15	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u16	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u17	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	StefBlok	Blok, Stef	M	1964	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u18	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-15-tweedekamer-8	ParlaMint-NL_2021-04-15-tweedekamer-8.u19	Report of the meeting of the Dutch Lower House, Meeting 69, Session 8 (2021-04-15)	2021-04-15	Lower house	Meeting of the 29th Tweede Kamer	Session 8	Meeting 69	Sitting 2021-04-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
