Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u1	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u2	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u3	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u4	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u5	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	PeterdeGroot	de Groot, Peter	M	1980	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u6	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	PeterdeGroot	de Groot, Peter	M	1980	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u7	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u8	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	PieterGrinwis	Grinwis, Pieter	M	1979	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u9	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MahirAlkaya	Alkaya, Mahir	M	1988	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u10	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u11	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	CoravanNieuwenhuijzen-Wijbenga	van Nieuwenhuijzen-Wijbenga, Cora	F	1963	
ParlaMint-NL-en_2021-07-08-tweedekamer-58	ParlaMint-NL_2021-07-08-tweedekamer-58.u12	Report of the meeting of the Dutch Lower House, Meeting 99, Session 58 (2021-07-08)	2021-07-08	Lower house	Meeting of the 29th Tweede Kamer	Session 58	Meeting 99	Sitting 2021-07-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
