Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u1	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u2	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u3	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u4	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u5	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u6	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u7	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u8	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u9	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u10	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u11	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u12	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u13	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u14	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u15	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u16	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u17	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u18	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-05-20-tweedekamer-21	ParlaMint-NL_2021-05-20-tweedekamer-21.u19	Report of the meeting of the Dutch Lower House, Meeting 78, Session 21 (2021-05-20)	2021-05-20	Lower house	Meeting of the 29th Tweede Kamer	Session 21	Meeting 78	Sitting 2021-05-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
