Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u1	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u2	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u3	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u4	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u5	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	SandraBeckerman	Beckerman, Sandra	F	1983	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u6	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u7	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u8	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DanielKoerhuis	Koerhuis, Daniel	M	1981	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u9	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	FaissalBoulakjar	Boulakjar, Faissal	M	1979	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u10	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u11	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	KajsaOllongren	Ollongren, Kajsa	F	1967	
ParlaMint-NL-en_2021-11-23-tweedekamer-16	ParlaMint-NL_2021-11-23-tweedekamer-16.u12	Report of the meeting of the Dutch Lower House, Meeting 25, Session 16 (2021-11-23)	2021-11-23	Lower house	Meeting of the 29th Tweede Kamer	Session 16	Meeting 25	Sitting 2021-11-23	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
