Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u1	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u2	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	BartvanKent	van Kent, Bart	M	1983	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u3	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u4	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	DonCeder	Ceder, Don	M	1989	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u5	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u6	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	BIJ1	BIJ1	-	Left to far-left	SylvanaSimons	Simons, Sylvana	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u7	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	BIJ1	BIJ1	-	Left to far-left	SylvanaSimons	Simons, Sylvana	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u8	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u9	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	MarijkevanBeukering-Huijbregts	van Beukering-Huijbregts, Marijke	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u10	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-09-15-tweedekamer-5	ParlaMint-NL_2021-09-15-tweedekamer-5.u11	Report of the meeting of the Dutch Lower House, Meeting 106, Session 5 (2021-09-15)	2021-09-15	Lower house	Meeting of the 29th Tweede Kamer	Session 5	Meeting 106	Sitting 2021-09-15	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
