Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u1	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u2	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	PeterKwint	Kwint, Peter	M	1984	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u3	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u4	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	ZohairElYassini	El Yassini, Zohair	M	1979	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u5	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u6	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	RenéPeters	Peters, René	M	1975	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u7	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u8	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	HarmBeertema	Beertema, Harm	M	1952	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u9	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	PaulvanMeenen	van Meenen, Paul	M	1956	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u10	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u11	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	-	Right	RoelofBisschop	Bisschop, Roelof	M	1956	
ParlaMint-NL-en_2021-06-08-tweedekamer-29	ParlaMint-NL_2021-06-08-tweedekamer-29.u12	Report of the meeting of the Dutch Lower House, Meeting 85, Session 29 (2021-06-08)	2021-06-08	Lower house	Meeting of the 29th Tweede Kamer	Session 29	Meeting 85	Sitting 2021-06-08	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
