Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u1	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u2	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	JacoGeurts	Geurts, Jaco	M	1970	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u3	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u4	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	PieterGrinwis	Grinwis, Pieter	M	1979	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u5	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u6	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u7	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u8	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u9	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Regular	notMP	notMinister	CU	ChristenUnie	-	Centre-right	PieterGrinwis	Grinwis, Pieter	M	1979	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u10	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	-	Centre	StientjevanVeldhoven	van Veldhoven, Stientje	F	1973	
ParlaMint-NL-en_2021-04-20-tweedekamer-37	ParlaMint-NL_2021-04-20-tweedekamer-37.u11	Report of the meeting of the Dutch Lower House, Meeting 70, Session 37 (2021-04-20)	2021-04-20	Lower house	Meeting of the 29th Tweede Kamer	Session 37	Meeting 70	Sitting 2021-04-20	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
