Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u1	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u2	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u3	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u4	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u5	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Regular	notMP	notMinister	D66	Democraten 66	-	Centre	SjoerdSjoerdsma	Sjoerdsma, Sjoerd	M	1981	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u6	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u7	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Guest	MP	Minister	D66	Democraten 66	-	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u8	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u9	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u10	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Guest	MP	Minister	D66	Democraten 66	-	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u11	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u12	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Guest	MP	Minister	D66	Democraten 66	-	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u13	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u14	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Guest	MP	Minister	D66	Democraten 66	-	Centre	SigridKaag	Kaag, Sigrid	F	1961	
ParlaMint-NL-en_2021-06-10-tweedekamer-6	ParlaMint-NL_2021-06-10-tweedekamer-6.u15	Report of the meeting of the Dutch Lower House, Meeting 87, Session 6 (2021-06-10)	2021-06-10	Lower house	Meeting of the 29th Tweede Kamer	Session 6	Meeting 87	Sitting 2021-06-10	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
