Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u1	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u2	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u3	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Guest	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	AtzoNicolaï	Nicolaï, Atzo	M	1960	
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u4	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u5	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	RaymondKnops	Knops, Raymond	M	1971	
ParlaMint-NL-en_2021-02-23-eerstekamer-10	ParlaMint-NL_2021-02-23-eerstekamer-10.u6	Report of the meeting of the Dutch Upper House, Meeting 26, Session 10 (2021-02-23)	2021-02-23	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 26	Sitting 2021-02-23	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
