Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u1	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u2	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u3	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	RaymonddeRoon	de Roon, Raymond	M	1952	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u4	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u5	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u6	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	BenKnapen	Knapen, Ben	M	1951	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u7	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u8	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u9	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	BenKnapen	Knapen, Ben	M	1951	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u10	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-24-tweedekamer-9	ParlaMint-NL_2021-11-24-tweedekamer-9.u11	Report of the meeting of the Dutch Lower House, Meeting 26, Session 9 (2021-11-24)	2021-11-24	Lower house	Meeting of the 29th Tweede Kamer	Session 9	Meeting 26	Sitting 2021-11-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
