Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u1	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u2	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u3	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	-	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u4	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u5	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	-	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u6	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u7	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	-	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u8	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u9	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u10	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u11	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	notMP	notMinister	SGP	Staatkundig Gereformeerde Partij	-	Right	PeterSchalk	Schalk, Peter	M	1961	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u12	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Guest	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	DilanYeşilgöz-Zegerius	Yeşilgöz-Zegerius, Dilan	F	1977	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u13	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-07-06-eerstekamer-6	ParlaMint-NL_2021-07-06-eerstekamer-6.u14	Report of the meeting of the Dutch Upper House, Meeting 44, Session 6 (2021-07-06)	2021-07-06	Upper house	Meeting of the 36th Eerste Kamer	Session 6	Meeting 44	Sitting 2021-07-06	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
