Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u1	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u2	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KatiPiri	Piri, Kati	F	1979	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u3	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KatiPiri	Piri, Kati	F	1979	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u4	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u5	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	RubenBrekelmans	Brekelmans, Ruben	M	1986	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u6	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u7	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	JaspervanDijk	van Dijk, Jasper	M	1971	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u8	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	JA21	Juiste Antwoord 2021	-	Right to far-right	DerkjanEppink	Eppink, Derk Jan	M	1958	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u9	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	JA21	Juiste Antwoord 2021	-	Right to far-right	DerkjanEppink	Eppink, Derk Jan	M	1958	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u10	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-25-tweedekamer-11	ParlaMint-NL_2021-11-25-tweedekamer-11.u11	Report of the meeting of the Dutch Lower House, Meeting 27, Session 11 (2021-11-25)	2021-11-25	Lower house	Meeting of the 29th Tweede Kamer	Session 11	Meeting 27	Sitting 2021-11-25	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	SietseFritsma	Fritsma, Sietse	M	1972	
