Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u1	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u2	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u3	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	-	Centre-left to left	LisaWesterveld	Westerveld, Lisa	F	1981	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u4	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u5	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	HabtamudeHoop	de Hoop, Habtamu	M	1998	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u6	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u7	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Guest	notMP	Minister	D66	Democraten 66	-	Centre	IngridvanEngelshoven	van Engelshoven, Ingrid	F	1966	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u8	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u9	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Guest	notMP	Minister	CU	ChristenUnie	-	Centre-right	ArieSlob	Slob, Arie	M	1961	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u10	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-11-11-tweedekamer-24	ParlaMint-NL_2021-11-11-tweedekamer-24.u11	Report of the meeting of the Dutch Lower House, Meeting 21, Session 24 (2021-11-11)	2021-11-11	Lower house	Meeting of the 29th Tweede Kamer	Session 24	Meeting 21	Sitting 2021-11-11	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
