Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u1	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u2	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u3	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	MP	notMinister	50PLUS	50PLUS	Opposition	Centre	CorrievanBrenk	van Brenk, Corrie	F	1960	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u4	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u5	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	notMP	notMinister	GL	GroenLinks	Opposition	Centre-left to left	Wim-JanRenkema	Renkema, Wim-Jan	M	1968	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u6	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	AnneKuik	Kuik, Anne	F	1987	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u7	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u8	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u9	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Regular	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	MartinWörsdörfer	Wörsdörfer, Martin	M	1972	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u10	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
ParlaMint-NL-en_2021-02-25-tweedekamer-12	ParlaMint-NL_2021-02-25-tweedekamer-12.u11	Report of the meeting of the Dutch Lower House, Meeting 59, Session 12 (2021-02-25)	2021-02-25	Lower house	Meeting of the 29th Tweede Kamer	Session 12	Meeting 59	Sitting 2021-02-25	-	COVID	English	Chairperson	MP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	KhadijaArib	Arib, Khadija	F	1960	
