Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u1	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u2	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Regular	notMP	notMinister	JA21	Juiste Antwoord 2021	-	Right to far-right	JoostEerdmans	Eerdmans, Joost	M	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u3	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Regular	notMP	notMinister	JA21	Juiste Antwoord 2021	-	Right to far-right	JoostEerdmans	Eerdmans, Joost	M	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u4	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u5	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	IngridMichonDerkzen	Michon-Derkzen, Ingrid	F	1976	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u6	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u7	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u8	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u9	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	LilianHelder	Helder, Lilian	F	1973	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u10	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-06-24-tweedekamer-13	ParlaMint-NL_2021-06-24-tweedekamer-13.u11	Report of the meeting of the Dutch Lower House, Meeting 93, Session 13 (2021-06-24)	2021-06-24	Lower house	Meeting of the 29th Tweede Kamer	Session 13	Meeting 93	Sitting 2021-06-24	-	COVID	English	Guest	notMP	Minister	CDA	Christen-Democratisch Appèl	-	Centre to centre-right	FerdGrapperhaus	Grapperhaus, Ferd	M	1959	
