Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u1	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u2	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Regular	notMP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	UlysseEllian	Ellian, Ulysse	M	1988	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u3	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u4	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Regular	notMP	notMinister	SP	Socialistische Partij	-	Left	MichielvanNispen	van Nispen, Michiel	M	1982	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u5	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u6	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Regular	notMP	notMinister	PVV	Partij voor de Vrijheid	-	Right to far-right	AlexanderKops	Kops, Alexander	M	1984	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u7	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Regular	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	BarbaraKathmann	Kathmann, Barbara	F	1978	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u8	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u9	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u10	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Guest	notMP	Minister	VVD	Volkspartij voor Vrijheid en Democratie	-	Centre-right	SanderDekker	Dekker, Sander	M	1975	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u11	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
ParlaMint-NL-en_2021-12-16-tweedekamer-7	ParlaMint-NL_2021-12-16-tweedekamer-7.u12	Report of the meeting of the Dutch Lower House, Meeting 36, Session 7 (2021-12-16)	2021-12-16	Lower house	Meeting of the 29th Tweede Kamer	Session 7	Meeting 36	Sitting 2021-12-16	-	COVID	English	Chairperson	MP	notMinister	D66	Democraten 66	-	Centre	VeraBergkamp	Bergkamp, Vera	F	1971	
