Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u1	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u2	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Guest	notMP	notMinister	PvdA	Partij van de Arbeid	-	Centre-left	MeiLiVos	Vos, Mei Li	F	1970	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u3	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u4	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Guest	notMP	notMinister	CDA	Christen-Democratisch Appèl	Coalition	Centre to centre-right	JoopAtsma	Atsma, Joop	M	1956	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u5	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u6	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u7	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u8	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Guest	notMP	notMinister	D66	Democraten 66	Coalition	Centre	AnnelienBredenoord	Bredenoord, Annelien	F	1979	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u9	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u10	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
ParlaMint-NL-en_2021-03-16-eerstekamer-10	ParlaMint-NL_2021-03-16-eerstekamer-10.u11	Report of the meeting of the Dutch Upper House, Meeting 29, Session 10 (2021-03-16)	2021-03-16	Upper house	Meeting of the 36th Eerste Kamer	Session 10	Meeting 29	Sitting 2021-03-16	-	COVID	English	Chairperson	MP	notMinister	VVD	Volkspartij voor Vrijheid en Democratie	Coalition	Centre-right	JanAnthonieBruijn	Bruijn, Jan Anthonie	M	1958	
